연번,호선,보관함명,소형,중형,대형,제어부,열
1,1,서울역A,12,4,6,1,6
2,1,서울역D,12,4,6,1,6
3,1,서울역E,12,4,4,1,5
4,1,시청A,18,4,6,1,7
5,1,시청B,9,4,3,1,4
6,1,종각A,18,2,5,1,6
7,1,종각B,18,2,5,1,6
8,1,종로3가A,18,2,5,1,6
9,1,종로3가B,6,2,1,1,2
10,1,종로5가A,12,2,5,1,5
11,1,종로5가B,9,2,2,1,3
12,1,동대문A,18,2,5,1,6
13,1,신설동A,6,2,1,1,2
14,1,제기동,6,2,1,1,2
15,1,청량리,12,2,3,1,4
16,1,동묘앞A,6,2,1,1,2
17,2,시청C,18,2,5,1,6
18,2,을지로입구1~25,18,2,5,,6
19,2,을지로입구26~50,18,2,5,,6
20,2,을지로3가A,18,4,4,1,6
21,2,을지로4가A,6,2,5,1,4
22,2,동대문역사문화공원1~36,24,4,8,,9
23,2,동대문역사문화공원37~60,15,4,5,,6
24,2,신당A,9,2,2,1,3
25,2,상왕십리,6,2,1,1,2
26,2,왕십리,12,2,3,,4
27,2,한양대,6,2,1,1,2
28,2,뚝섬1~39,27,6,6,,9
29,2,성수1~28,18,4,6,,7
30,2,성수29~45,12,2,3,,4
31,2,건대입구1~22,15,4,3,,5
32,2,건대입구23~44,15,4,3,,5
33,2,건대입구45~66,15,4,3,,5
34,2,구의,9,2,2,1,3
35,2,강변1~21,15,2,4,,5
36,2,강변22~59,27,4,7,,9
37,2,잠실나루,9,2,2,1,3
38,2,잠실1~47,33,6,8,,11
39,2,잠실48~73,18,4,4,,6
40,2,잠실74~95,15,4,3,,5
41,2,잠실96~108,9,2,2,,3
42,2,잠실새내,15,2,4,1,5
43,2,종합운동장1~39,27,6,6,,9
44,2,종합운동장40~92,36,10,7,,12
45,2,삼성1~30,21,4,5,,7
46,2,삼성31~47,12,2,3,,4
47,2,삼성48~64,12,2,3,,4
48,2,선릉A,12,2,3,1,4
49,2,선릉B,12,2,3,1,4
50,2,역삼,21,4,5,,7
51,2,강남1~52,36,8,8,,12
52,2,강남53~78,18,4,4,,6
53,2,교대A,15,4,3,1,5
54,2,서초,9,2,2,1,3
55,2,방배,9,2,2,1,3
56,2,사당A,18,4,4,1,6
57,2,낙성대,9,2,2,1,3
58,2,서울대입구,15,4,3,1,5
59,2,봉천,9,2,2,1,3
60,2,신림1~21,15,2,4,,5
61,2,신림22~50,21,2,6,,7
62,2,신대방,9,2,2,1,3
63,2,구로디지털단지,12,2,3,1,4
64,2,대림A,12,2,3,1,4
65,2,신도림A,21,4,7,1,8
66,2,신도림B,15,2,4,1,5
67,2,신도림C,18,4,4,1,6
68,2,문래,6,2,1,1,2
69,2,영등포구청A,9,2,2,1,3
70,2,당산,9,2,2,1,3
71,2,합정1~25,18,2,5,,6
72,2,홍대입구1~33,21,6,6,,8
73,2,홍대입구34~65,21,4,7,,8
74,2,홍대입구66~113,33,4,11,,12
75,2,홍대입구114~143,21,4,5,,7
76,2,홍대입구144~171,15,4,9,,8
77,2,신촌1~22,15,4,3,,5
78,2,신촌23~49,18,6,3,,6
79,2,신촌50~71,15,4,3,,5
80,2,이대A,15,2,4,1,5
81,2,아현,6,2,1,1,2
82,2,충정로A,9,2,4,1,4
83,2,용답,6,2,1,1,2
84,2,신답,6,2,1,1,2
85,2,신설동B,6,2,1,1,2
86,2,도림천,6,2,1,1,2
87,2,양천구청,6,2,1,1,2
88,2,신정네거리,6,2,1,1,2
89,2,용두,6,2,1,1,2
90,3,지축,6,2,1,1,2
91,3,구파발,9,2,2,1,3
92,3,연신내A,18,2,5,1,6
93,3,불광A,6,2,1,1,2
94,3,녹번A,6,2,1,1,2
95,3,홍제A,6,2,1,1,2
96,3,홍제B,6,2,1,1,2
97,3,무악재,6,2,1,1,2
98,3,독립문,6,2,1,1,2
99,3,경복궁52~76,15,2,8,,7
100,3,경복궁1~29,21,2,6,,7
101,3,경복궁30~51,15,4,3,,5
102,3,안국43~83,27,6,8,,10
103,3,안국1~42,27,8,7,,10
104,3,종로3가C,12,2,3,1,4
105,3,을지로3가B,9,2,2,1,3
106,3,동대입구,9,2,2,1,3
107,3,약수A,6,2,1,1,2
108,3,금호,6,2,1,1,2
109,3,옥수,6,2,1,1,2
110,3,압구정1~26,18,4,4,,6
111,3,압구정27~43,12,2,3,,4
112,3,신사1~45,30,6,9,,11
113,3,신사46~68,15,2,6,,6
114,3,잠원,6,2,1,1,2
115,3,고속터미널1~17,12,2,3,,4
116,3,고속터미널18~72,39,6,10,,13
117,3,교대B,9,2,2,1,3
118,3,남부터미널,15,2,4,1,5
119,3,양재A,9,2,2,1,3
120,3,양재B,9,2,2,1,3
121,3,매봉,6,2,1,1,2
122,3,도곡,9,2,2,1,3
123,3,대치,6,2,1,1,2
124,3,학여울,6,2,1,1,2
125,3,대청,6,2,1,1,2
126,3,일원,6,2,1,1,2
127,3,수서,15,2,4,1,5
128,3,가락시장A,9,2,2,1,3
129,3,경찰병원,6,2,1,1,2
130,3,오금A,6,2,1,1,2
131,4,당고개,6,2,1,1,2
132,4,상계,9,2,2,1,3
133,4,노원A,15,2,4,1,5
134,4,창동B,6,2,1,1,2
135,4,쌍문,6,2,1,1,2
136,4,수유A,9,2,2,1,3
137,4,미아B,6,2,1,1,2
138,4,미아사거리A,9,2,2,1,3
139,4,미아사거리B,9,2,2,1,3
140,4,길음,12,2,3,1,4
141,4,성신여대입구A,9,2,2,1,3
142,4,성신여대입구B,21,2,6,1,7
143,4,한성대입구,9,2,2,1,3
144,4,혜화1~43,30,6,7,,10
145,4,혜화44~81,27,4,7,,9
146,4,혜화82~102,15,2,4,,5
147,4,혜화103~128,18,4,4,,6
148,4,동대문C,15,4,7,1,7
149,4,동대문D,15,2,4,1,5
150,4,동대문역사문화공원61~68,18,4,6,,7
151,4,충무로A,15,2,4,1,5
152,4,충무로B,9,2,2,1,3
153,4,명동1~13,9,2,2,,3
154,4,명동14~43,18,4,8,,8
155,4,명동44~85,27,4,11,,11
156,4,명동86~126,24,10,7,,10
157,4,회현A,12,4,6,1,6
158,4,회현B,12,4,8,1,7
