연번,호선,보관함명,상세위치
1,1,서울역A,"1호선 1,2번 출입구 사이 복도"
2,1,서울역D,"2,3번 출입구 복도 사이"
3,1,서울역E,"2,3번 출입구 복도 사이/화장실 주변"
4,1,시청A,"2,3번 출구 주변"
5,1,시청B,"2,3번 출구 엘리베이터 주변"
6,1,종각A,4번 출구 주변
7,1,종각B,3번 출구 주변 게이트
8,1,종로3가A,"1, 2, 13, 14번 출구 주변"
9,1,종로3가B,"10,11,12,13번 출구 주변 게이트 주변"
10,1,종로5가A,"7,8번 출입구 주변 상가 맞은편"
11,1,종로5가B,"7,8번 출입구 주변 상가 맞은편"
12,1,동대문A,1번 출입구 주변
13,1,신설동A,우이신설 환승입구와 게이트 근처의 ATM 기기 주변
14,1,제기동,2번  출구 계단 주변
15,1,청량리,4번 출입구 계단 밑 
16,1,동묘앞A,3번 출입구 내부 에스컬레이터 주변
17,2,시청C,8번 출구 → 1호선환승 방향
18,2,을지로입구1~25,중앙 게이트 주변
19,2,을지로입구26~50,"3,4번 출입구 방향 통로"
20,2,을지로3가A,게이트 통로 상가 주변
21,2,을지로4가A,"지하1층 1,2번 출구 방향 화장실 주변"
22,2,동대문역사문화공원1~36,1번 출입구 주변
23,2,동대문역사문화공원37~60,"1번 출입구, 상가 주변"
24,2,신당A,"2,3번 출구 사이 복도"
25,2,상왕십리,"2,3,4번 출구 사이 복도"
26,2,왕십리,3번 출입구 주변
27,2,한양대,"2,4번 출입구 주변"
28,2,뚝섬1~39,"1,2,7,8번 출입구 주변"
29,2,성수1~28,"1,4번 출입구 주변"
30,2,성수29~45,"1,4번 출입구 주변"
31,2,건대입구1~22,6번 출입구 주변
32,2,건대입구23~44,2번 출입구 주변
33,2,건대입구45~66,5번 출입구 주변
34,2,구의,"1,4번 출입구, 서비스센터 맞은편"
35,2,강변1~21,화장실 맞은편
36,2,강변22~59,3번 출입구 주변
37,2,잠실나루,"2,3번 출입구 주변"
38,2,잠실1~47,"1,2번 출입구 주변"
39,2,잠실48~73,"1,2번 출입구 주변"
40,2,잠실74~95,"1,2번 출입구에서 3,4번  출입구 방향 통로 내부"
41,2,잠실96~108,"1,2번 출입구에서 3,4번  출입구 방향 통로 내부"
42,2,잠실새내,7번 출입구 주변
43,2,종합운동장1~39,5번 출입구 주변
44,2,종합운동장40~92,6번 출입구 주변
45,2,삼성1~30,"3,4,5,6번 출입구 방향 통로(역무실 맞은편)"
46,2,삼성31~47,"1,2,7,8번 출입구 방향 통로"
47,2,삼성48~64,"3,4번 출입구 방향 통로"
48,2,선릉A,"1,10번 출입구 방향 게이트 주변"
49,2,선릉B,5번 출입구에서 10번 출입구 방향
50,2,역삼,"3,4번 출입구 통로"
51,2,강남1~52,"1,12번 출입구 게이트 주변"
52,2,강남53~78,"1,12번 출입구 통로 상가 맞은편"
53,2,교대A,"지하1층 6,7번 출구 주변"
54,2,서초,지하1층 8번 출구 주변
55,2,방배,지하1층 4번 출구 주변
56,2,사당A,"지하1층 13,14번 출구 방향 편의점 맞은편"
57,2,낙성대,"7,8번 출입구 주변"
58,2,서울대입구,"5,6번 출입구 주변 화장실 주변"
59,2,봉천,4번 출입구 주변　
60,2,신림1~21,"3,4번 출입구 주변(아이센터 주변)"
61,2,신림22~50,"1,8번 출입구 사이 벽면"
62,2,신대방,1번 출입구 주변
63,2,구로디지털단지,6번 출입구 주변
64,2,대림A,"1,2번 출입구 통로"
65,2,신도림A,1번 출입구 외부문 주변
66,2,신도림B,2번 출입구 주변
67,2,신도림C,1번 출입구 게이트 내부 상가 주변
68,2,문래,2번 출입구 통로
69,2,영등포구청A,3번 출입구 게이트 내부 계단 주변
70,2,당산,"1,2번 출입구 주변"
71,2,합정1~25,"1,2,3,4번 출입구 주변"
72,2,홍대입구1~33,"2,8번 출입구 주변"
73,2,홍대입구34~65,"2,8번 출입구 주변"
