호선 , 역명 , 계 , 소형 , 중형 , 대형 , 제어부 , 열 , 계 , 소형 , 중형 , 대형 , 제어부 , 열 
1호선,서울역A,28,14,4,9,1,8,27,17,5,5,1,8
1호선,서울역B,28,14,4,9,1,8,26,16,4,6,1,8
1호선,서울역C,28,14,4,9,1,8,26,16,4,6,1,8
1호선,서울역D,22,11,4,6,1,6,23,11,5,7,1,8
1호선,서울역E,20,11,4,4,1,5,23,11,5,7,1,8
1호선,시청A,24,14,4,5,1,6,31,20,5,6,1,9
1호선,시청B,20,11,4,4,1,5,15,10,1,4,1,5
1호선,종각A,25,17,2,5,1,6,42,30,6,6,1,11
1호선,종각B,25,17,2,5,1,6,32,22,4,6,1,9
1호선,종로3가A,25,17,2,5,1,6,42,30,6,6,1,11
1호선,종로3가B,9,5,2,1,1,2,24,16,4,4,1,7
1호선,종로5가A,19,11,2,5,1,5,32,20,8,4,1,9
1호선,동대문A,25,17,2,5,1,6,36,26,5,5,1,10
1호선,동대문B,17,11,2,3,1,4,21,15,3,3,1,6
1호선,신설동A,9,5,2,1,1,2,18,14,2,2,1,5
1호선,제기동,9,5,2,1,1,2,18,14,2,2,1,5
1호선,청량리,17,11,2,3,1,4,21,15,3,3,1,6
1호선,동묘앞,9,5,2,1,1,2, - ,,,,,
2호선,시청C,25,17,2,5,1,6,28,19,4,5,1,8
2호선,을지로입구A,25,17,2,5,1,6,38,24,6,8,1,11
2호선,을지로입구B,25,17,2,5,1,6,36,22,4,10,1,11
2호선,을지로3가A,13,8,2,2,1,3,18,14,2,2,1,5
2호선,을지로4가,9,5,2,1,1,2,18,14,2,2,1,5
2호선,동대문역사문화공원A,36,23,4,8,1,9,56,38,8,10,1,15
2호선,동대문역사문화공원B,24,14,4,5,1,6,28,22,4,2,1,7
2호선,신당,13,8,2,2,1,3,18,14,2,2,1,5
2호선,상왕십리,9,5,2,1,1,2,12,8,2,2,1,4
2호선,왕십리,17,11,2,3,1,4,24,16,4,4,1,7
2호선,한양대,9,5,2,1,1,2,21,15,3,3,1,6
2호선,뚝섬,13,8,2,2,1,3,18,14,2,2,1,5
